Poll_ID,Pollster,Date,Parliament_ID,CDUCSU,SPD,Gruene,FDP,Linke,AfD,BSW
HE01180119C,Infratest dimap,2018-01-19,HE,31,25,13,8,8,12,NA
BT06180119G,Forschungsgruppe Wahlen,2018-01-19,BT,33,20,12,8,10,12,NA
BT03180120X,Emnid,2018-01-20,BT,33,21,10,8,10,13,NA
BT02180121M,Forsa,2018-01-21,BT,34,18,12,8,10,12,NA
BT02180122N,Forsa,2018-01-22,BT,34,17,12,8,11,13,NA
BT09180125D,Allensbach,2018-01-25,BT,34,21,10.5,10,8.5,12,NA
BT01180125O,Infratest dimap,2018-01-25,BT,33,19,11,10,10,12,NA
BT13180125Q,YouGov,2018-01-25,BT,34,19,10,8,11,14,NA
BT03180127Y,Emnid,2018-01-27,BT,34,20,11,8,10,12,NA
BT02180129O,Forsa,2018-01-29,BT,34,18,12,9,10,12,NA
BW01180131J,Infratest dimap,2018-01-31,BW,29,12,29,8,6,12,NA
BE02180131L,Forsa,2018-01-31,BE,19,20,17,7,18,11,NA
BT01180201P,Infratest dimap,2018-02-01,BT,33,18,11,10,11,14,NA
BT06180202H,Forschungsgruppe Wahlen,2018-02-02,BT,31,19,14,7,11,14,NA
BT03180203A,Emnid,2018-02-03,BT,33,20,11,9,10,13,NA
BT02180205P,Forsa,2018-02-05,BT,33,18,13,9,9,13,NA
BT04180208X,GMS,2018-02-08,BT,32,18,13,9,9,14,NA
BT02180209Q,Forsa,2018-02-09,BT,31,18,13,10,10,13,NA
BT03180210B,Emnid,2018-02-10,BT,34,20,11,9,9,12,NA
BY04180212D,GMS,2018-02-12,BY,40,15,11,6,3,12,NA
BT01180215Q,Infratest dimap,2018-02-15,BT,33,16,13,9,11,15,NA
BT03180217C,Emnid,2018-02-17,BT,33,19,11,9,10,14,NA
BT02180217R,Forsa,2018-02-17,BT,34,16,13,9,10,13,NA
BT01180222R,Infratest dimap,2018-02-22,BT,34,17,12,9,10,14,NA
TH05180223A,INSA,2018-02-23,TH,32,10,7,5,24,18,NA
BT09180223E,Allensbach,2018-02-23,BT,32,17.5,12,11,9.5,13,NA
BT06180223I,Forschungsgruppe Wahlen,2018-02-23,BT,33,17,12,8,11,14,NA
BT03180224D,Emnid,2018-02-24,BT,33,17,11,10,11,15,NA
BT02180224S,Forsa,2018-02-24,BT,35,18,12,9,9,13,NA
BW02180225K,Forsa,2018-02-25,BW,27,12,32,9,4,12,NA
BY02180225E,Forsa,2018-02-25,BY,42,14,14,6,3,10,NA
HE02180225E,Forsa,2018-02-25,HE,33,23,14,8,7,10,NA
NI02180225B,Forsa,2018-02-25,NI,33,33,10,8,6,6,NA
NW02180225D,Forsa,2018-02-25,NW,34,24,10,12,7,7,NA
BE02180226M,Forsa,2018-02-26,BE,19,19,18,6,20,12,NA
BT13180228R,YouGov,2018-02-28,BT,32,16,12,8,12,16,NA
BT01180301S,Infratest dimap,2018-03-01,BT,34,18,11,9,9,15,NA
HE09180302F,Allensbach,2018-03-02,HE,31,26,12,9,7,11,NA
BT03180303E,Emnid,2018-03-03,BT,33,16,12,9,11,15,NA
BT02180303T,Forsa,2018-03-03,BT,35,18,12,9,9,13,NA
BT02180305U,Forsa,2018-03-05,BT,34,19,12,9,9,13,NA
HH21180307E,Policy Matters,2018-03-07,HH,22,28,15,8,14,10,NA
RP01180308F,Infratest dimap,2018-03-08,RP,33,37,8,7,3,8,NA
BT03180310F,Emnid,2018-03-10,BT,33,19,12,8,10,13,NA
BT02180311V,Forsa,2018-03-11,BT,34,18,13,9,10,12,NA
BT06180316J,Forschungsgruppe Wahlen,2018-03-16,BT,32,19,12,9,11,13,NA
BT03180317G,Emnid,2018-03-17,BT,33,19,11,9,10,14,NA
BT02180317W,Forsa,2018-03-17,BT,34,19,11,8,10,13,NA
BT09180321F,Allensbach,2018-03-21,BT,34,19,11,10,10,12.5,NA
BY04180322F,GMS,2018-03-22,BY,43,15,11,6,3,12,NA
HE06180322G,Forschungsgruppe Wahlen,2018-03-22,HE,31,26,13,7,8,10,NA
BT04180322Y,GMS,2018-03-22,BT,33,18,11,10,10,13,NA
BT01180322T,Infratest dimap,2018-03-22,BT,33,19,12,9,10,13,NA
BT03180324H,Emnid,2018-03-24,BT,34,18,12,9,10,13,NA
BT02180324X,Forsa,2018-03-24,BT,31,19,12,9,11,14,NA
BT13180328S,YouGov,2018-03-28,BT,34,17,11,8,11,15,NA
BT03180331I,Emnid,2018-03-31,BT,34,18,12,8,11,12,NA
BT02180331Y,Forsa,2018-03-31,BT,33,18,12,9,10,13,NA
BE02180404N,Forsa,2018-04-04,BE,20,20,17,7,18,12,NA
BT01180405U,Infratest dimap,2018-04-05,BT,33,18,12,9,10,14,NA
BT03180407J,Emnid,2018-04-07,BT,34,17,12,8,11,13,NA
BT02180407A,Forsa,2018-04-07,BT,32,20,11,9,10,13,NA
BT06180413K,Forschungsgruppe Wahlen,2018-04-13,BT,33,19,14,8,9,13,NA
BE05180414O,INSA,2018-04-14,BE,19,19,17,8,19,13,NA
BT03180414K,Emnid,2018-04-14,BT,33,18,11,9,11,14,NA
BT02180414B,Forsa,2018-04-14,BT,34,19,12,9,10,12,NA
HH02180416F,Forsa,2018-04-16,HH,16,36,18,7,12,7,NA
BB01180418M,Infratest dimap,2018-04-18,BB,23,23,7,4,17,22,NA
BT01180419V,Infratest dimap,2018-04-19,BT,32,17,12,10,10,15,NA
SH01180420P,Infratest dimap,2018-04-20,SH,34,22,18,8,6,6,NA
BY05180421G,INSA,2018-04-21,BY,42,13,13,7,3,13,NA
BT03180421L,Emnid,2018-04-21,BT,33,18,12,9,11,13,NA
BT02180423C,Forsa,2018-04-23,BT,34,18,13,9,10,12,NA
BT09180425G,Allensbach,2018-04-25,BT,34,20.5,11,10,9,12,NA
BT13180425T,YouGov,2018-04-25,BT,32,18,12,9,10,15,NA
BY04180427H,GMS,2018-04-27,BY,44,14,11,5,3,12,NA
BT06180427L,Forschungsgruppe Wahlen,2018-04-27,BT,34,20,13,7,10,13,NA
BT04180427A,GMS,2018-04-27,BT,33,17,12,9,11,13,NA
BT03180428M,Emnid,2018-04-28,BT,32,18,12,9,11,14,NA
BT02180428D,Forsa,2018-04-28,BT,34,17,13,9,10,12,NA
HB01180501C,Infratest dimap,2018-05-01,HB,24,26,14,7,15,9,NA
BY01180502I,Infratest dimap,2018-05-02,BY,41,12,14,6,3,12,NA
BE02180504P,Forsa,2018-05-04,BE,19,19,18,7,19,11,NA
BT03180505N,Emnid,2018-05-05,BT,34,17,12,8,10,14,NA
BT02180505E,Forsa,2018-05-05,BT,34,18,11,9,10,13,NA
